,Country,Population,Density,HDI,Hospital_beds_per_1000
0,China,1401783320,145,0.758,4.34
1,India,1359852605,414,0.647,
2,United States,329459544,34,0.92,2.77
3,Indonesia,266911900,141,0.707,
4,Pakistan,218961520,259,0.56,
5,Brazil,211261692,25,0.761,
6,Nigeria,206139587,218,0.534,
7,Bangladesh,168276278,1168,0.614,
8,Russia,146745098,9,0.824,8.05
9,Mexico,126577691,64,0.767,1.38
10,Japan,126010000,334,0.915,13.05
11,Philippines,108411686,364,0.712,
12,Egypt,100135069,100,0.7,
13,Ethiopia,98665000,101,0.47,
14,Vietnam,96208984,290,0.693,
15,DR Congo,89561404,,,
16,Iran,83284684,51,0.797,
17,Turkey,83154997,105,0.806,2.81
18,Germany,83149300,233,0.939,8.0
19,France,67064000,123,0.891,5.98
20,Thailand,66482017,,0.765,
21,United Kingdom,66435600,274,0.92,
22,Italy,60243406,200,0.883,3.18
23,South Africa,58775022,48,0.705,
24,Tanzania,55890747,59,0.528,
25,Myanmar,54339766,80,0.584,
26,South Korea,51780579,517,0.906,12.27
27,Colombia,49395678,40,0.761,1.7
28,Kenya,47564296,82,0.579,
29,Spain,47100396,93,0.893,2.97
30,Argentina,44938712,16,0.83,
31,Algeria,43000000,18,0.759,
32,Sudan,42348345,22,0.507,
33,Ukraine,41902416,,0.75,
34,Uganda,40299300,166,0.528,
35,Iraq,39127900,90,0.689,
36,Poland,38386000,123,0.872,6.62
37,Canada,37959208,4,0.922,2.52
38,Morocco,35840310,79,0.676,
39,Saudi Arabia,34218169,16,0.857,
40,Uzbekistan,34072134,73,0.71,
41,Malaysia,32720760,100,0.804,
42,Afghanistan,32225560,49,0.496,
43,Venezuela,32219521,35,0.726,
44,Peru,32131400,25,0.759,
45,Angola,31127674,23,0.574,
46,Ghana,30280811,127,0.596,
47,Mozambique,30066648,36,0.446,
48,Yemen,29825968,64,0.463,
49,Nepal,29609623,201,0.579,
50,Cameroon,26545864,52,0.563,
51,Ivory Coast,25823071,80,0.516,
52,Madagascar,25680342,44,0.521,
53,Australia,25647852,3,0.938,3.84
54,North Korea,25450000,211,,
55,Taiwan,23604265,652,,
56,Niger,22314743,18,0.377,
57,Sri Lanka,21803000,332,0.78,
58,Burkina Faso,20870060,75,0.434,
59,Mali,19973000,15,0.427,
60,Romania,19405156,81,0.816,
61,Chile,19107216,23,0.847,2.11
62,Kazakhstan,18664000,7,0.817,
63,Malawi,17563749,148,0.485,
64,Syria,17500657,92,0.549,
65,Netherlands,17445081,419,0.933,3.32
66,Ecuador,17445232,63,0.758,
67,Zambia,17381168,22,0.591,
68,Guatemala,16604026,162,0.651,
69,Senegal,16209125,82,0.514,
70,Somalia,15893219,24,,
71,Chad,15692969,12,0.401,
72,Cambodia,15288489,90,0.581,
73,Zimbabwe,15159624,39,0.563,
74,South Sudan,12778250,20,0.413,
75,Rwanda,12374397,470,0.536,
76,Guinea,12218357,50,0.466,
77,Benin,11733059,104,0.52,
78,Tunisia,11722038,71,0.739,
79,Haiti,11577779,416,0.503,
80,Belgium,11524454,377,0.919,5.76
81,Bolivia,11469896,10,0.703,
82,Cuba,11209628,102,0.778,
83,Burundi,10953317,394,0.423,
84,Greece,10724599,81,0.872,4.21
85,Czech Republic,10681161,135,0.891,6.63
86,Jordan,10637088,119,0.723,
87,Dominican Republic,10358320,216,0.745,
